candidate,date,score
Clinton,2016-08-13,-0.167218957182143
Clinton,2016-08-14,-0.235529700946191
Clinton,2016-08-15,-0.223412524822373
Clinton,2016-08-16,-0.197031697744639
Clinton,2016-08-17,-0.193890486065705
Clinton,2016-08-18,-0.216581078178422
Clinton,2016-08-19,-0.184088823066131
Clinton,2016-08-20,-0.159593689877757
Clinton,2016-08-21,-0.196387307833167
Clinton,2016-08-22,-0.209635835815792
Clinton,2016-08-23,-0.201524203321943
Clinton,2016-08-24,-0.214071323116599
Clinton,2016-08-25,-0.2197014183403
Clinton,2016-08-26,-0.191810880961951
Clinton,2016-08-27,-0.152324682469993
Clinton,2016-08-28,-0.173398090892532
Clinton,2016-08-29,-0.167409081117548
Clinton,2016-08-30,-0.183879762868131
Clinton,2016-08-31,-0.188067603671702
Clinton,2016-09-01,-0.20796915809703
Clinton,2016-09-02,-0.183529630047302
Clinton,2016-09-03,-0.184826977867524
Clinton,2016-09-04,-0.166714500955022
Clinton,2016-09-05,-0.201170439199883
Clinton,2016-09-06,-0.183571657489859
Clinton,2016-09-07,-0.220443159043211
Clinton,2016-09-08,-0.190099261226567
Clinton,2016-09-09,-0.203163564569439
Clinton,2016-09-10,-0.196636964621315
Clinton,2016-09-11,-0.203712232605717
Clinton,2016-09-12,-0.180469680548454
Clinton,2016-09-13,-0.185801541469077
Clinton,2016-09-14,-0.171016676011178
Clinton,2016-09-15,-0.167083704816652
Clinton,2016-09-16,-0.172220909600554
Clinton,2016-09-17,-0.181198361560906
Clinton,2016-09-18,-0.225888821359705
Clinton,2016-09-19,-0.176046828282679
Clinton,2016-09-20,-0.164499928660721
Clinton,2016-09-21,-0.182580591610362
Clinton,2016-09-22,-0.159384332108223
Clinton,2016-09-23,-0.126620268447975
Clinton,2016-09-24,-0.116571505886242
Clinton,2016-09-25,-0.114667880708883
Clinton,2016-09-26,-0.11969070504668
Clinton,2016-09-27,-0.142441271799113
Clinton,2016-09-28,-0.158346077938994
Clinton,2016-09-29,-0.125909872287586
Clinton,2016-09-30,-0.172314261614025
Clinton,2016-10-01,-0.200044368684128
Clinton,2016-10-02,-0.189317705535679
Clinton,2016-10-03,-0.189605234397172
Clinton,2016-10-04,-0.175399399631733
Clinton,2016-10-05,-0.163405933759716
Clinton,2016-10-06,-0.200555442263112
Clinton,2016-10-07,-0.218500854085578
Clinton,2016-10-08,-0.232972575755304
Clinton,2016-10-09,-0.23506840597886
Clinton,2016-10-10,-0.225459375366804
Clinton,2016-10-11,-0.23588401832051
Clinton,2016-10-12,-0.265243209641208
Clinton,2016-10-13,-0.269095617520741
Clinton,2016-10-14,-0.232259846314574
Clinton,2016-10-15,-0.228625135155009
Clinton,2016-10-16,-0.231926238219147
Clinton,2016-10-17,-0.220151468746673
Clinton,2016-10-18,-0.221094389137178
Clinton,2016-10-19,-0.2143346346776
Clinton,2016-10-20,-0.187523435717412
Clinton,2016-10-21,-0.202380743699758
Clinton,2016-10-22,-0.178321870244533
Clinton,2016-10-23,-0.192773752486087
Clinton,2016-10-24,-0.197476535227645
Clinton,2016-10-25,-0.156299383289945
Clinton,2016-10-26,-0.151139390348521
Clinton,2016-10-27,-0.171010424985507
Clinton,2016-10-28,-0.202457481174947
Clinton,2016-10-29,-0.245664133966921
Clinton,2016-10-30,-0.234682221448281
Clinton,2016-10-31,-0.221360197883918
Clinton,2016-11-01,-0.212903297818149
Clinton,2016-11-02,-0.189162920293633
Clinton,2016-11-03,-0.185877362593343
Clinton,2016-11-04,-0.169434480492147
Clinton,2016-11-05,-0.158006355561276
Clinton,2016-11-06,-0.142447246387564
Clinton,2016-11-07,-0.124158085702117
Clinton,2016-11-08,-0.11177954057636
Clinton,2016-11-09,-0.165072950858392
Clinton,2016-11-10,-0.120740008093827
Trump,2016-08-13,-0.127352724124242
Trump,2016-08-14,-0.222798324822353
Trump,2016-08-15,-0.224141295155659
Trump,2016-08-16,-0.186192968737648
Trump,2016-08-17,-0.177975707403382
Trump,2016-08-18,-0.18333646418905
Trump,2016-08-19,-0.176506560661991
Trump,2016-08-20,-0.146837162103196
Trump,2016-08-21,-0.175034202353849
Trump,2016-08-22,-0.207389941208201
Trump,2016-08-23,-0.191727697926713
Trump,2016-08-24,-0.214770796005703
Trump,2016-08-25,-0.220802341942541
Trump,2016-08-26,-0.198605165269454
Trump,2016-08-27,-0.17013749276768
Trump,2016-08-28,-0.156780558478428
Trump,2016-08-29,-0.132721093013125
Trump,2016-08-30,-0.163139734313512
Trump,2016-08-31,-0.165299581356784
Trump,2016-09-01,-0.18101550518169
Trump,2016-09-02,-0.151895107674372
Trump,2016-09-03,-0.160629505347301
Trump,2016-09-04,-0.150148799310581
Trump,2016-09-05,-0.175836587719522
Trump,2016-09-06,-0.169423443546724
Trump,2016-09-07,-0.186406535133375
Trump,2016-09-08,-0.155467729219508
Trump,2016-09-09,-0.175676213293679
Trump,2016-09-10,-0.181566031937051
Trump,2016-09-11,-0.190776913306038
Trump,2016-09-12,-0.164947888411731
Trump,2016-09-13,-0.174425587015699
Trump,2016-09-14,-0.151353239598751
Trump,2016-09-15,-0.159787062996709
Trump,2016-09-16,-0.166520014829837
Trump,2016-09-17,-0.180703494654796
Trump,2016-09-18,-0.220863690970869
Trump,2016-09-19,-0.181869389733772
Trump,2016-09-20,-0.154821561133371
Trump,2016-09-21,-0.167373417512678
Trump,2016-09-22,-0.137151252076081
Trump,2016-09-23,-0.126089576318541
Trump,2016-09-24,-0.122426338664263
Trump,2016-09-25,-0.109495014210117
Trump,2016-09-26,-0.122189977864266
Trump,2016-09-27,-0.147721338335701
Trump,2016-09-28,-0.148429437866064
Trump,2016-09-29,-0.163512249136799
Trump,2016-09-30,-0.179852767341781
Trump,2016-10-01,-0.20480933440306
Trump,2016-10-02,-0.190595300611675
Trump,2016-10-03,-0.187979004642415
Trump,2016-10-04,-0.175372980171305
Trump,2016-10-05,-0.165020708645198
Trump,2016-10-06,-0.185495875709642
Trump,2016-10-07,-0.22203185520469
Trump,2016-10-08,-0.234132450963547
Trump,2016-10-09,-0.23091921357988
Trump,2016-10-10,-0.237784734645482
Trump,2016-10-11,-0.224088851087168
Trump,2016-10-12,-0.249186039471767
Trump,2016-10-13,-0.236062551828508
Trump,2016-10-14,-0.182027428304625
Trump,2016-10-15,-0.200327378247081
Trump,2016-10-16,-0.208807740177544
Trump,2016-10-17,-0.206328309146505
Trump,2016-10-18,-0.208718072483417
Trump,2016-10-19,-0.221068673184241
Trump,2016-10-20,-0.201860527975251
Trump,2016-10-21,-0.171871137059683
Trump,2016-10-22,-0.157769293567982
Trump,2016-10-23,-0.185307445103325
Trump,2016-10-24,-0.199114806901144
Trump,2016-10-25,-0.196156054334728
Trump,2016-10-26,-0.162025452412845
Trump,2016-10-27,-0.181253583958986
Trump,2016-10-28,-0.19751935042392
Trump,2016-10-29,-0.247054388582168
Trump,2016-10-30,-0.223292778799707
Trump,2016-10-31,-0.215927839490723
Trump,2016-11-01,-0.202855541044205
Trump,2016-11-02,-0.175986750858039
Trump,2016-11-03,-0.191763010096611
Trump,2016-11-04,-0.168682589442228
Trump,2016-11-05,-0.138634613330053
Trump,2016-11-06,-0.14395071609724
Trump,2016-11-07,-0.132888600906883
Trump,2016-11-08,-0.107538111736946
